"site1"	"site2"	"dyad_ID"	"behavior"	"behavioral_class"	"shared"	"nepra_binary"	"nepra_proportion"	"ibd_binary"	"same_subspecies"	"distance"	"same_habitat"	"mean_refugia_distance"	"mean_annual_precipitation"	"min_observation_time"
"83"	"Bateke"	"Bili-Uele"	"Bateke_Bili-Uele"	"Termite eating"	"non-tool"	0	0	8.47e-05	0	0	1387212.69724998	0	217.6441752	50.02631579	1
"84"	"Bateke"	"Bili-Uele"	"Bateke_Bili-Uele"	"Ant eating"	"non-tool"	0	0	8.47e-05	0	0	1387212.69724998	0	217.6441752	50.02631579	1
"85"	"Bateke"	"Bili-Uele"	"Bateke_Bili-Uele"	"Nut cracking"	"complex"	NA	0	8.47e-05	0	0	1387212.69724998	0	217.6441752	50.02631579	1
"86"	"Bateke"	"Bili-Uele"	"Bateke_Bili-Uele"	"Leaf sponge"	"simple"	0	0	8.47e-05	0	0	1387212.69724998	0	217.6441752	50.02631579	1
"87"	"Bateke"	"Bili-Uele"	"Bateke_Bili-Uele"	"Termite fishing"	"simple"	0	0	8.47e-05	0	0	1387212.69724998	0	217.6441752	50.02631579	1
"88"	"Bateke"	"Bili-Uele"	"Bateke_Bili-Uele"	"Underground toolset"	"complex"	0	0	8.47e-05	0	0	1387212.69724998	0	217.6441752	50.02631579	1
"89"	"Bateke"	"Bili-Uele"	"Bateke_Bili-Uele"	"Honey above-ground"	"simple"	1	0	8.47e-05	0	0	1387212.69724998	0	217.6441752	50.02631579	1
"90"	"Bateke"	"Bili-Uele"	"Bateke_Bili-Uele"	"Honey eating"	"non-tool"	0	0	8.47e-05	0	0	1387212.69724998	0	217.6441752	50.02631579	1
"91"	"Bakoun-Sobory"	"Boe"	"Bakoun-Sobory_Boe"	"Honey underground "	"simple"	0	1	0.007546747	1	1	312991.817661824	1	535.8870246	114.5	14
"92"	"Bakoun-Sobory"	"Boe"	"Bakoun-Sobory_Boe"	"Ant fishing"	"simple"	0	1	0.007546747	1	1	312991.817661824	1	535.8870246	114.5	14
"93"	"Bakoun-Sobory"	"Boe"	"Bakoun-Sobory_Boe"	"Honey toolset"	"complex"	0	1	0.007546747	1	1	312991.817661824	1	535.8870246	114.5	14
"94"	"Bakoun-Sobory"	"Boe"	"Bakoun-Sobory_Boe"	"Nut cracking"	"complex"	NA	1	0.007546747	1	1	312991.817661824	1	535.8870246	114.5	14
"95"	"Bafing"	"Boe"	"Bafing_Boe"	"Nut cracking"	"complex"	0	1	0.002109912	1	1	414439.867741409	1	571.1037425	117	15
"96"	"Bafing"	"Boe"	"Bafing_Boe"	"Honey above-ground"	"simple"	0	1	0.002109912	1	1	414439.867741409	1	571.1037425	117	15
"97"	"Bafing"	"Boe"	"Bafing_Boe"	"Water dipping"	"simple"	0	1	0.002109912	1	1	414439.867741409	1	571.1037425	117	15
