"Bafing"	"Bateke"	"Bili-Uele"	"Boe"	"Budongo"	"Bwindi"	"Comoe"	"Conkouati"	"Dindefelo"	"Djouroutou"	"East Nimba"	"Gashaka"	"Gishwati"	"Goualougo"	"Grebo"	"Issa-Ugalla"	"Kabogo"	"Kayan"	"Korup"	"La Belgique"	"Loango"	"Lope"	"Mbe"	"Mt. Cameroon"	"Mt. Cristal"	"Mt. Sangbe"	"Ngogo"	"Nyungwe"	"Outamba-Kilimi"	"Rubi-Tele"	"Sangaredi"	"Sapo"	"Sobeya"	"Bakoun-Sobory"	"Tai"
"East Nimba"	0.001045039	2.19e-05	8.35e-05	0.003381412	0.000204603	0.000174111	0.004298661	0.000410275	0.00199034	0.001764041	NA	0.000592646	0.000255488	0.000177325	0.004940809	0.000530664	4.08e-05	0.003258388	0.000175252	2.55e-05	0.000297943	0.000104072	0.000195808	2.79e-05	0.000274396	0.00130728	0.000733513	0.000267893	0.000893668	8.67e-05	0.00171838	0.003162047	0.002808703	0.003545594	0.003329164
"Gashaka"	0.000236461	0.00032848	0.000632209	0.002261787	0.001289995	0.001215402	0.00272896	0.003569238	0.000460724	0.000272383	0.000592646	NA	0.001407177	0.003845931	0.002695612	0.003075926	0.000245672	0.002282392	0.008510055	0.000736619	0.002974481	0.001442043	0.008394008	0.003755086	0.003806619	0.000252663	0.004322938	0.001753207	0.000120155	0.000567915	0.000315264	0.001532359	0.001651637	0.002049795	0.000900302
"Gishwati"	0.000103898	0.00012915	0.002169557	0.000538666	0.004968738	0.005671427	0.000776194	0.0021372	0.00018661	7.51e-05	0.000255488	0.001407177	NA	0.001618099	0.000596987	0.006146414	0.001218561	0.000544537	0.000490053	0.000224963	0.001864593	0.000994216	0.000491919	0.000103577	0.00234728	0.000122207	0.008181947	0.008855743	4.83e-05	0.002709717	0.000147856	0.000369602	0.000414089	0.000573907	0.000253332
"Goualougo"	7.19e-05	0.000916499	0.001090498	0.000327564	0.001533812	0.001554731	0.00049836	0.006476687	0.00013755	8.7e-05	0.000177325	0.003845931	0.001618099	NA	0.00039308	0.001876746	0.000458344	0.000376197	0.000893302	0.002586074	0.005760747	0.003821923	0.000862572	0.000341301	0.010284423	9.7e-05	0.002824781	0.002068001	5.81e-05	0.000929861	0.000104888	0.000266757	0.000262783	0.00036778	0.000178349
"Grebo"	0.001417593	4.38e-05	0.000182935	0.006710939	0.000565051	0.000418124	0.008706802	0.001358821	0.003017443	0.002945269	0.004940809	0.002695612	0.000596987	0.00039308	NA	0.00233763	8.15e-05	0.00646495	0.000664789	3.4e-05	0.001218772	0.000237654	0.000473977	6.63e-05	0.000619132	0.001946423	0.003187404	0.000651036	0.00134283	0.000166836	0.002446544	0.007407454	0.005579554	0.006961073	0.005503359
"Issa-Ugalla"	0.000165871	0.000213236	0.001910639	0.001968568	0.004602615	0.005637236	0.002434406	0.003167883	0.000390366	0.00024079	0.000530664	0.003075926	0.006146414	0.001876746	0.00233763	NA	0.001369499	0.001935838	0.000932425	0.000284446	0.002813545	0.001179527	0.000690483	0.000104704	0.002633758	0.00018464	0.01015256	0.008613767	0.000115803	0.002192478	0.000286808	0.001377559	0.001426303	0.001865929	0.000758635
"Kabogo"	2.18e-05	6.7e-05	0.000407901	6.35e-05	0.000864142	0.001125374	0.00010639	0.000528455	3.52e-05	3.18e-05	4.08e-05	0.000245672	0.001218561	0.000458344	8.15e-05	0.001369499	NA	8.04e-05	8.41e-05	8.44e-05	0.000505495	0.000280066	9.75e-05	3.68e-05	0.000600229	2.96e-05	0.00155924	0.001696326	1.38e-05	0.000542993	2.61e-05	5.21e-05	4.99e-05	8.49e-05	4.08e-05
"Kayan"	0.002169722	5.99e-05	0.000151925	0.007323525	0.000512529	0.00036238	0.006349488	0.001171571	0.004021099	0.001669074	0.003258388	0.002282392	0.000544537	0.000376197	0.00646495	0.001935838	8.04e-05	NA	0.000578404	4.5e-05	0.001068775	0.000246103	0.000410859	6.4e-05	0.000583364	0.001201084	0.002679091	0.000573418	0.001371436	0.000171076	0.002978973	0.004170061	0.005320886	0.007289108	0.003569292
"Korup"	6.56e-05	9.59e-05	0.000179422	0.000573694	0.000446964	0.000431299	0.00069107	0.000995093	0.000121725	0.000100856	0.000175252	0.008510055	0.000490053	0.000893302	0.000664789	0.000932425	8.41e-05	0.000578404	NA	0.000171683	0.000837147	0.000405002	0.005392494	0.003098266	0.001016022	8.42e-05	0.001279465	0.000594234	3.88e-05	0.000228667	9.44e-05	0.000451168	0.00042631	0.000555256	0.000249063
"La Belgique"	1.47e-05	0.000259505	0.000198437	3.53e-05	0.000234964	0.000230076	4.98e-05	0.001579689	8.52e-06	1.1e-05	2.55e-05	0.000736619	0.000224963	0.002586074	3.4e-05	0.000284446	8.44e-05	4.5e-05	0.000171683	NA	0.001245606	0.000875635	0.000180045	0.00010074	0.002503639	1.83e-05	0.000381661	0.000302737	1.84e-05	0.000146857	1.34e-05	3.65e-05	2.55e-05	4.62e-05	1.7e-05
"Loango"	0.000119003	0.002699102	0.0009861	0.001080052	0.001708485	0.001657113	0.001277445	0.021344102	0.000243824	0.000154629	0.000297943	0.002974481	0.001864593	0.005760747	0.001218772	0.002813545	0.000505495	0.001068775	0.000837147	0.001245606	NA	0.010544436	0.000713961	0.000197902	0.00798284	0.000174461	0.003855402	0.002343769	9.35e-05	0.000945584	0.000198773	0.000749171	0.000792942	0.001044725	0.000456665
"Lope"	3.67e-05	0.001916644	0.000579114	0.000193609	0.00094257	0.000948229	0.000302326	0.011344438	7.45e-05	5.97e-05	0.000104072	0.001442043	0.000994216	0.003821923	0.000237654	0.001179527	0.000280066	0.000246103	0.000405002	0.000875635	0.010544436	NA	0.00035087	0.000119127	0.005183609	5.89e-05	0.001768594	0.001401396	5.29e-05	0.000567675	7.57e-05	0.000159189	0.000154038	0.000200491	0.000120005
"Mbe"	8.9e-05	8.42e-05	0.000199419	0.0004247	0.000440515	0.000388939	0.000603053	0.000876913	0.000149925	9.21e-05	0.000195808	0.008394008	0.000491919	0.000862572	0.000473977	0.000690483	9.75e-05	0.000410859	0.005392494	0.000180045	0.000713961	0.00035087	NA	0.002505242	0.000985747	7.98e-05	0.001121599	0.000622042	5.26e-05	0.000221766	0.000116329	0.00027445	0.000308436	0.000416129	0.000221045
"Mt. Cameroon"	9.38e-06	3.82e-05	5.39e-05	3.96e-05	0.000107111	0.000104785	6.75e-05	0.000296723	2.56e-05	1.63e-05	2.79e-05	0.003755086	0.000103577	0.000341301	6.63e-05	0.000104704	3.68e-05	6.4e-05	0.003098266	0.00010074	0.000197902	0.000119127	0.002505242	NA	0.000346818	1.52e-05	0.000186119	0.000139631	1.17e-05	7.5e-05	2.1e-05	3.37e-05	4.42e-05	3.26e-05	2.79e-05
"Mt. Cristal"	0.000128543	0.00124888	0.00127007	0.000499836	0.002155104	0.002091885	0.000804599	0.008890657	0.000198237	0.000137502	0.000274396	0.003806619	0.00234728	0.010284423	0.000619132	0.002633758	0.000600229	0.000583364	0.001016022	0.002503639	0.00798284	0.005183609	0.000985747	0.000346818	NA	0.000142376	0.003932884	0.003136068	9.02e-05	0.001295868	0.000189059	0.000448375	0.000405773	0.000582297	0.000268042
"Mt. Sangbe"	0.000402364	9.26e-06	5.4e-05	0.001272614	9.38e-05	0.000106594	0.001899331	0.000171265	0.000748309	0.000742512	0.00130728	0.000252663	0.000122207	9.7e-05	0.001946423	0.00018464	2.96e-05	0.001201084	8.42e-05	1.83e-05	0.000174461	5.89e-05	7.98e-05	1.52e-05	0.000142376	NA	0.000299136	0.000113638	0.000245136	3.99e-05	0.001032377	0.001326755	0.001087975	0.001368629	0.001298704
"Ngogo"	0.000233206	0.000275452	0.003808475	0.002618971	0.010657924	0.008389055	0.003179294	0.004479572	0.000493194	0.000320871	0.000733513	0.004322938	0.008181947	0.002824781	0.003187404	0.01015256	0.00155924	0.002679091	0.001279465	0.000381661	0.003855402	0.001768594	0.001121599	0.000186119	0.003932884	0.000299136	NA	0.010148573	0.00014044	0.004581704	0.000383623	0.001832667	0.001852654	0.002480256	0.000975786
"Nyungwe"	0.000108169	0.000202928	0.002346586	0.000546709	0.005974199	0.007566537	0.000825909	0.002746577	0.000197062	0.000102548	0.000267893	0.001753207	0.008855743	0.002068001	0.000651036	0.008613767	0.001696326	0.000573418	0.000594234	0.000302737	0.002343769	0.001401396	0.000622042	0.000139631	0.003136068	0.000113638	0.010148573	NA	6.76e-05	0.003046634	0.000154142	0.000423847	0.000456854	0.000556621	0.000261517
"Outamba-Kilimi"	0.000445912	5.82e-06	3.05e-05	0.001379564	6.35e-05	4.95e-05	0.001432679	0.000105306	0.001055672	0.00055249	0.000893668	0.000120155	4.83e-05	5.81e-05	0.00134283	0.000115803	1.38e-05	0.001371436	3.88e-05	1.84e-05	9.35e-05	5.29e-05	5.26e-05	1.17e-05	9.02e-05	0.000245136	0.00014044	6.76e-05	NA	2.61e-05	0.000750799	0.000918046	0.001213059	0.001473168	0.000828247
"Rubi-Tele"	4.02e-05	9.76e-05	0.001914907	0.000162971	0.002887602	0.002553616	0.000225623	0.00107467	7.4e-05	4.08e-05	8.67e-05	0.000567915	0.002709717	0.000929861	0.000166836	0.002192478	0.000542993	0.000171076	0.000228667	0.000146857	0.000945584	0.000567675	0.000221766	7.5e-05	0.001295868	3.99e-05	0.004581704	0.003046634	2.61e-05	NA	5.15e-05	0.000116586	0.000135969	0.000184959	8.67e-05
"Sangaredi"	0.001161407	1.15e-05	5.91e-05	0.0038817	0.000131323	0.000116547	0.002631654	0.000227243	0.002494386	0.000962151	0.00171838	0.000315264	0.000147856	0.000104888	0.002446544	0.000286808	2.61e-05	0.002978973	9.44e-05	1.34e-05	0.000198773	7.57e-05	0.000116329	2.1e-05	0.000189059	0.001032377	0.000383623	0.000154142	0.000750799	5.15e-05	NA	0.001694838	0.002289259	0.003138207	0.0016856
"Sapo"	0.001010304	2.88e-05	0.000118803	0.004273209	0.000371782	0.000281464	0.005686498	0.000909155	0.002058657	0.002097765	0.003162047	0.001532359	0.000369602	0.000266757	0.007407454	0.001377559	5.21e-05	0.004170061	0.000451168	3.65e-05	0.000749171	0.000159189	0.00027445	3.37e-05	0.000448375	0.001326755	0.001832667	0.000423847	0.000918046	0.000116586	0.001694838	NA	0.003484328	0.004481022	0.003974619
"Sobeya"	0.0015757	2.65e-05	0.000137011	0.005604659	0.000368688	0.000288891	0.005418404	0.000858937	0.003090894	0.001577259	0.002808703	0.001651637	0.000414089	0.000262783	0.005579554	0.001426303	4.99e-05	0.005320886	0.00042631	2.55e-05	0.000792942	0.000154038	0.000308436	4.42e-05	0.000405773	0.001087975	0.001852654	0.000456854	0.001213059	0.000135969	0.002289259	0.003484328	NA	0.005654698	0.003086041
"Bakoun-Sobory"	0.00247994	3.8e-05	0.000174391	0.007546747	0.000487298	0.000407682	0.006922572	0.001166446	0.004389554	0.002066116	0.003545594	0.002049795	0.000573907	0.00036778	0.006961073	0.001865929	8.49e-05	0.007289108	0.000555256	4.62e-05	0.001044725	0.000200491	0.000416129	3.26e-05	0.000582297	0.001368629	0.002480256	0.000556621	0.001473168	0.000184959	0.003138207	0.004481022	0.005654698	NA	0.003970224
"Tai"	0.001010838	2.08e-05	7.07e-05	0.003570967	0.000255173	0.000152987	0.004892365	0.000530946	0.002050037	0.002330818	0.003329164	0.000900302	0.000253332	0.000178349	0.005503359	0.000758635	4.08e-05	0.003569292	0.000249063	1.7e-05	0.000456665	0.000120005	0.000221045	2.79e-05	0.000268042	0.001298704	0.000975786	0.000261517	0.000828247	8.67e-05	0.0016856	0.003974619	0.003086041	0.003970224	NA
