"Bafing"	"Bateke"	"Bili-Uele"	"Boe"	"Budongo"	"Bwindi"	"Comoe"	"Conkouati"	"Dindefelo"	"Djouroutou"	"East Nimba"	"Gashaka"	"Gishwati"	"Goualougo"	"Grebo"	"Issa-Ugalla"	"Kabogo"	"Kayan"	"Korup"	"La Belgique"	"Loango"	"Lope"	"Mbe"	"Mt. Cameroon"	"Mt. Cristal"	"Mt. Sangbe"	"Ngogo"	"Nyungwe"	"Outamba-Kilimi"	"Rubi-Tele"	"Sangaredi"	"Sapo"	"Sobeya"	"Bakoun-Sobory"	"Tai"
"Loango"	3.62341090160608e-07	1.98245968282547e-06	5.43211845867222e-07	3.30337893619766e-07	4.01555494597111e-07	4.42419343831245e-07	5.27102511055535e-07	3.55224161914404e-06	3.45034275539316e-07	4.92200497157842e-07	4.41591256216161e-07	9.38392526245544e-07	4.51870553197523e-07	1.08422513341564e-06	4.83829772992359e-07	4.2159711368916e-07	4.49516003264858e-07	3.40866811649047e-07	1.25113360743367e-06	1.37846728431357e-06	NA	3.1845118154676e-06	1.08525687405318e-06	1.40476245114426e-06	3.55002297507419e-06	4.60473829891747e-07	4.25309693655391e-07	4.55259107133383e-07	3.66394334368198e-07	5.53830749989615e-07	3.35625334291853e-07	4.56858739042606e-07	3.65819327151138e-07	3.63823014765384e-07	4.84200569786119e-07
"Lope"	3.5260411605659e-07	2.94200727959925e-06	6.46180263653269e-07	3.18937192580526e-07	4.48679124887171e-07	4.94016709948236e-07	5.07518312073998e-07	2.40277982846026e-06	3.34134304048552e-07	4.58558825374936e-07	4.1771643645697e-07	1.20088947279722e-06	5.0360298703067e-07	1.62243819722187e-06	4.51180112341592e-07	4.57179935846381e-07	4.89545048070193e-07	3.3124175145931e-07	1.50843675351071e-06	2.32484667675689e-06	3.1845118154676e-06	NA	1.30499731127685e-06	1.74481823514116e-06	6.4133251370012e-06	4.37471986180603e-07	4.7624343423358e-07	5.0584060508289e-07	3.50783568109636e-07	6.54639429868603e-07	3.23055060062319e-07	4.26177019410603e-07	3.52558106160913e-07	3.51692942170399e-07	4.52762479400196e-07
"Mbe"	4.41206547249261e-07	9.32470442095016e-07	5.68595299067973e-07	3.81924024186906e-07	3.93394732959165e-07	4.10459018216392e-07	6.94445224248561e-07	8.68506360868935e-07	4.07678119524729e-07	5.53776357032784e-07	5.11223234363112e-07	3.32196371210352e-06	4.12368686846279e-07	1.05379910305129e-06	5.43506408593852e-07	3.67981770577562e-07	3.86939788477507e-07	4.0643513199009e-07	7.92613079444864e-06	1.83182717373737e-06	1.08525687405318e-06	1.30499731127685e-06	NA	4.77085387280349e-06	1.49683774144512e-06	5.49439161569202e-07	4.06862113127495e-07	4.10312324169116e-07	4.21613268760838e-07	5.4788949907732e-07	3.85255361783696e-07	5.0486171736589e-07	4.31303446004336e-07	4.33066383188572e-07	5.50252352386858e-07
"Mt. Cameroon"	4.24689374366687e-07	1.11760407874875e-06	5.74900132157755e-07	3.72062352719746e-07	3.99164323144651e-07	4.21873639958486e-07	6.64422005952106e-07	1.0575118522124e-06	3.95220907528744e-07	5.50336398737159e-07	5.02143981309446e-07	2.35078941318603e-06	4.25333613322511e-07	1.15792253833067e-06	5.39905183039546e-07	3.81891204832457e-07	4.03053352761166e-07	3.92911087163879e-07	1.10173443176065e-05	2.21607215612137e-06	1.40476245114426e-06	1.74481823514116e-06	4.77085387280349e-06	NA	2.16002113426886e-06	5.36400691913337e-07	4.15352806919026e-07	4.24226076086381e-07	4.12267270209679e-07	5.60717505962984e-07	3.76155554754227e-07	5.02254789503179e-07	4.19005502306511e-07	4.19558934114103e-07	5.45108541573986e-07
"Mt. Cristal"	3.72806725144024e-07	2.03283815366408e-06	5.99256567815129e-07	3.35588652172014e-07	4.22364000487634e-07	4.60462246648365e-07	5.50558651588488e-07	2.06898912098272e-06	3.52380203479052e-07	4.93684034056619e-07	4.46811051462615e-07	1.2716983073834e-06	4.68329960127474e-07	1.36886088602022e-06	4.85139722280029e-07	4.26927706888377e-07	4.54970628320107e-07	3.49088289674558e-07	1.80638029104245e-06	2.18163718447081e-06	3.55002297507419e-06	6.4133251370012e-06	1.49683774144512e-06	2.16002113426886e-06	NA	4.69484781021009e-07	4.45899796775193e-07	4.69937097307641e-07	3.71077367311109e-07	6.02407445936272e-07	3.40177024231785e-07	4.56259081737215e-07	3.72997083663741e-07	3.71973577453571e-07	4.87042058521834e-07
"Mt. Sangbe"	1.54197906908822e-06	3.82126723482374e-07	2.79428899705156e-07	1.16886481062757e-06	2.29344582709579e-07	2.36152447110817e-07	2.45992560473069e-06	4.09291221628581e-07	1.35718022620852e-06	3.47866712222642e-06	6.46391467533343e-06	4.79732065726678e-07	2.37317263737189e-07	3.66665157032882e-07	3.57209803618202e-06	2.24123789808718e-07	2.31487488099532e-07	1.26987982274767e-06	5.5051380394701e-07	4.31867688254117e-07	4.60473829891747e-07	4.37471986180603e-07	5.49439161569202e-07	5.36400691913337e-07	4.69484781021009e-07	NA	2.34213387693967e-07	2.37106414865803e-07	1.7682139464299e-06	2.74666453772332e-07	1.23425420059653e-06	2.94221234307607e-06	1.76969869580745e-06	1.69445105764688e-06	4.2211357949212e-06
"Ngogo"	2.12021670170082e-07	5.40123202232059e-07	1.33543443304459e-06	1.97010347565423e-07	5.45744770638271e-06	5.37506469347239e-06	2.56586780944275e-07	4.55176070162831e-07	2.03727427989057e-07	2.3696057764498e-07	2.2733109887232e-07	4.49038219989577e-07	3.54762283250183e-06	6.44378577798884e-07	2.34989172695276e-07	1.51215712831737e-06	1.49873013884244e-06	2.03579716832462e-07	4.07638589850315e-07	5.10823183693846e-07	4.25309693655391e-07	4.7624343423358e-07	4.06862113127495e-07	4.15352806919026e-07	4.45899796775193e-07	2.34213387693967e-07	NA	2.83131088828029e-06	2.07159991913999e-07	1.57492595241127e-06	1.97886771363805e-07	2.27650200952171e-07	2.09365196727864e-07	2.09823374487454e-07	2.35858439375128e-07
"Nyungwe"	2.12633789938137e-07	5.909167704903e-07	1.13155568480496e-06	1.98228125176861e-07	1.88571477644192e-06	5.97832105468789e-06	2.58939665106661e-07	4.97509674775871e-07	2.04708921281443e-07	2.4136526330265e-07	2.30475940720608e-07	4.46661805062604e-07	1.37627895053316e-05	6.69014226884577e-07	2.39305053224469e-07	2.72453549321495e-06	3.05259534692201e-06	2.04249836061218e-07	4.14257809459493e-07	5.24151125328093e-07	4.55259107133383e-07	5.0584060508289e-07	4.10312324169116e-07	4.24226076086381e-07	4.69937097307641e-07	2.37106414865803e-07	2.83131088828029e-06	NA	2.09157724101854e-07	1.40900844434189e-06	1.99377739801174e-07	2.31881841960266e-07	2.1080890446019e-07	2.11008065861391e-07	2.39978921211476e-07
"Outamba-Kilimi"	2.43370786518713e-06	3.14389645151731e-07	2.4224295073619e-07	3.13849468662438e-06	2.03508211303976e-07	2.08517657034151e-07	1.07136970999407e-06	3.33602755477895e-07	3.36672806726879e-06	1.38364691143287e-06	2.1429901254971e-06	3.80779730200586e-07	2.09362012164113e-07	3.0402725982351e-07	1.4465482888137e-06	1.98915452047525e-07	2.04691218013523e-07	2.57789458236462e-06	4.21071978905587e-07	3.47620839763389e-07	3.66394334368198e-07	3.50783568109636e-07	4.21613268760838e-07	4.12267270209679e-07	3.71077367311109e-07	1.7682139464299e-06	2.07159991913999e-07	2.09157724101854e-07	NA	2.38304741439105e-07	3.94517860917562e-06	1.63777200734324e-06	5.82795073177034e-06	4.08783856095714e-06	1.47166721235008e-06
"Rubi-Tele"	2.44999748739283e-07	7.52890452416157e-07	5.05326220224009e-06	2.25108723703584e-07	1.385096095832e-06	1.54441179762625e-06	3.06263492005543e-07	5.89356137860872e-07	2.33961947620734e-07	2.77782390971674e-07	2.65100752574909e-07	6.28108617109676e-07	1.49467524000925e-06	1.0610422672198e-06	2.75091708897895e-07	9.37652413641739e-07	1.01812040184196e-06	2.33792993621195e-07	5.479613689887e-07	7.48002405159846e-07	5.53830749989615e-07	6.54639429868603e-07	5.4788949907732e-07	5.60717505962984e-07	6.02407445936272e-07	2.74666453772332e-07	1.57492595241127e-06	1.40900844434189e-06	2.38304741439105e-07	NA	2.26204455345754e-07	2.65007491510028e-07	2.41364613154158e-07	2.42016486008136e-07	2.76403361754339e-07
