"site1"	"site2"	"dyad_ID"	"ibd_binary"	"ibd_source_fontsere_etal_2022"
"101"	"Bateke"	"Gishwati"	"Bateke_Gishwati"	0	"0"
"102"	"Boe"	"Gishwati"	"Boe_Gishwati"	0	"0"
"103"	"Bili-Uele"	"Gishwati"	"Bili-Uele_Gishwati"	0	"0"
"104"	"Gashaka"	"Gishwati"	"Gashaka_Gishwati"	0	"0"
"105"	"Comoe"	"Gishwati"	"Comoe_Gishwati"	0	"0"
"106"	"Bafing"	"Gishwati"	"Bafing_Gishwati"	0	"0"
"107"	"Bwindi"	"Gishwati"	"Bwindi_Gishwati"	1	"tableS9"
"108"	"Budongo"	"Gishwati"	"Budongo_Gishwati"	1	"tableS9"
"109"	"Conkouati"	"Gishwati"	"Conkouati_Gishwati"	0	"0"
"110"	"Djouroutou"	"Gishwati"	"Djouroutou_Gishwati"	0	"0"
"111"	"Dindefelo"	"Gishwati"	"Dindefelo_Gishwati"	0	"0"
"112"	"Boe"	"Goualougo"	"Boe_Goualougo"	0	"0"
"113"	"Bili-Uele"	"Goualougo"	"Bili-Uele_Goualougo"	0	"0"
"114"	"Dindefelo"	"Goualougo"	"Dindefelo_Goualougo"	0	"0"
"115"	"Bwindi"	"Goualougo"	"Bwindi_Goualougo"	0	"0"
"116"	"Bafing"	"Goualougo"	"Bafing_Goualougo"	0	"0"
"117"	"Djouroutou"	"Goualougo"	"Djouroutou_Goualougo"	0	"0"
"118"	"Conkouati"	"Goualougo"	"Conkouati_Goualougo"	0	"0"
"119"	"Budongo"	"Goualougo"	"Budongo_Goualougo"	0	"0"
"120"	"Gashaka"	"Goualougo"	"Gashaka_Goualougo"	1	"fig3"
"121"	"Comoe"	"Goualougo"	"Comoe_Goualougo"	0	"0"
"122"	"East Nimba"	"Goualougo"	"East Nimba_Goualougo"	0	"0"
"123"	"Bateke"	"Goualougo"	"Bateke_Goualougo"	1	"tableS9"
"124"	"Gishwati"	"Goualougo"	"Gishwati_Goualougo"	0	"0"
"125"	"Conkouati"	"Grebo"	"Conkouati_Grebo"	0	"0"
"126"	"Djouroutou"	"Grebo"	"Djouroutou_Grebo"	1	"tableS9"
"127"	"Budongo"	"Grebo"	"Budongo_Grebo"	0	"0"
"128"	"Bafing"	"Grebo"	"Bafing_Grebo"	1	"tableS9"
"129"	"Dindefelo"	"Grebo"	"Dindefelo_Grebo"	1	"tableS9"
"130"	"Goualougo"	"Grebo"	"Goualougo_Grebo"	0	"0"
"131"	"Bateke"	"Grebo"	"Bateke_Grebo"	0	"0"
"132"	"East Nimba"	"Grebo"	"East Nimba_Grebo"	1	"tableS9"
"133"	"Gashaka"	"Grebo"	"Gashaka_Grebo"	0	"0"
"134"	"Gishwati"	"Grebo"	"Gishwati_Grebo"	0	"0"
"135"	"Boe"	"Grebo"	"Boe_Grebo"	1	"tableS9"
"136"	"Comoe"	"Grebo"	"Comoe_Grebo"	1	"tableS9"
"137"	"Bwindi"	"Grebo"	"Bwindi_Grebo"	0	"0"
"138"	"Bili-Uele"	"Grebo"	"Bili-Uele_Grebo"	0	"0"
"139"	"Dindefelo"	"Issa-Ugalla"	"Dindefelo_Issa-Ugalla"	0	"0"
"140"	"Bateke"	"Issa-Ugalla"	"Bateke_Issa-Ugalla"	0	"0"
"141"	"Bili-Uele"	"Issa-Ugalla"	"Bili-Uele_Issa-Ugalla"	1	"tableS9"
"142"	"Comoe"	"Issa-Ugalla"	"Comoe_Issa-Ugalla"	0	"0"
"143"	"East Nimba"	"Issa-Ugalla"	"East Nimba_Issa-Ugalla"	0	"0"
"144"	"Boe"	"Issa-Ugalla"	"Boe_Issa-Ugalla"	0	"0"
"145"	"Gishwati"	"Issa-Ugalla"	"Gishwati_Issa-Ugalla"	1	"tableS9"
"146"	"Goualougo"	"Issa-Ugalla"	"Goualougo_Issa-Ugalla"	0	"0"
"147"	"Conkouati"	"Issa-Ugalla"	"Conkouati_Issa-Ugalla"	0	"0"
"148"	"Djouroutou"	"Issa-Ugalla"	"Djouroutou_Issa-Ugalla"	0	"0"
"149"	"Bwindi"	"Issa-Ugalla"	"Bwindi_Issa-Ugalla"	1	"tableS9"
"150"	"Budongo"	"Issa-Ugalla"	"Budongo_Issa-Ugalla"	1	"tableS9"
"151"	"Bafing"	"Issa-Ugalla"	"Bafing_Issa-Ugalla"	0	"0"
"152"	"Grebo"	"Issa-Ugalla"	"Grebo_Issa-Ugalla"	0	"0"
"153"	"Gashaka"	"Issa-Ugalla"	"Gashaka_Issa-Ugalla"	0	"0"
"154"	"Djouroutou"	"Kabogo"	"Djouroutou_Kabogo"	0	"0"
"155"	"Goualougo"	"Kabogo"	"Goualougo_Kabogo"	0	"0"
"156"	"Budongo"	"Kabogo"	"Budongo_Kabogo"	1	"tableS9"
"157"	"Bili-Uele"	"Kabogo"	"Bili-Uele_Kabogo"	0	"0"
"158"	"Bafing"	"Kabogo"	"Bafing_Kabogo"	0	"0"
"159"	"Conkouati"	"Kabogo"	"Conkouati_Kabogo"	0	"0"
"160"	"Dindefelo"	"Kabogo"	"Dindefelo_Kabogo"	0	"0"
"161"	"Comoe"	"Kabogo"	"Comoe_Kabogo"	0	"0"
"162"	"Boe"	"Kabogo"	"Boe_Kabogo"	0	"0"
"163"	"East Nimba"	"Kabogo"	"East Nimba_Kabogo"	0	"0"
"164"	"Grebo"	"Kabogo"	"Grebo_Kabogo"	0	"0"
"165"	"Gashaka"	"Kabogo"	"Gashaka_Kabogo"	0	"0"
"166"	"Bateke"	"Kabogo"	"Bateke_Kabogo"	0	"0"
"167"	"Gishwati"	"Kabogo"	"Gishwati_Kabogo"	0	"0"
"168"	"Issa-Ugalla"	"Kabogo"	"Issa-Ugalla_Kabogo"	0	"0"
"169"	"Bwindi"	"Kabogo"	"Bwindi_Kabogo"	0	"0"
"170"	"Conkouati"	"Kayan"	"Conkouati_Kayan"	0	"0"
"171"	"Bateke"	"Kayan"	"Bateke_Kayan"	0	"0"
"172"	"Grebo"	"Kayan"	"Grebo_Kayan"	1	"tableS9"
"173"	"Bafing"	"Kayan"	"Bafing_Kayan"	1	"tableS9"
"174"	"Budongo"	"Kayan"	"Budongo_Kayan"	0	"0"
"175"	"East Nimba"	"Kayan"	"East Nimba_Kayan"	1	"tableS9"
"176"	"Bwindi"	"Kayan"	"Bwindi_Kayan"	0	"0"
"177"	"Gashaka"	"Kayan"	"Gashaka_Kayan"	0	"0"
"178"	"Comoe"	"Kayan"	"Comoe_Kayan"	1	"tableS9"
"179"	"Issa-Ugalla"	"Kayan"	"Issa-Ugalla_Kayan"	0	"0"
"180"	"Gishwati"	"Kayan"	"Gishwati_Kayan"	0	"0"
"181"	"Kabogo"	"Kayan"	"Kabogo_Kayan"	0	"0"
"182"	"Bili-Uele"	"Kayan"	"Bili-Uele_Kayan"	0	"0"
"183"	"Djouroutou"	"Kayan"	"Djouroutou_Kayan"	1	"tableS9"
"184"	"Boe"	"Kayan"	"Boe_Kayan"	1	"tableS9"
"185"	"Goualougo"	"Kayan"	"Goualougo_Kayan"	0	"0"
"186"	"Dindefelo"	"Kayan"	"Dindefelo_Kayan"	1	"tableS9"
"187"	"Comoe"	"Korup"	"Comoe_Korup"	0	"0"
"188"	"Dindefelo"	"Korup"	"Dindefelo_Korup"	0	"0"
"189"	"Boe"	"Korup"	"Boe_Korup"	0	"0"
"190"	"Bwindi"	"Korup"	"Bwindi_Korup"	0	"0"
"191"	"Budongo"	"Korup"	"Budongo_Korup"	0	"0"
"192"	"East Nimba"	"Korup"	"East Nimba_Korup"	0	"0"
"193"	"Goualougo"	"Korup"	"Goualougo_Korup"	0	"0"
"194"	"Bili-Uele"	"Korup"	"Bili-Uele_Korup"	0	"0"
"195"	"Djouroutou"	"Korup"	"Djouroutou_Korup"	0	"0"
"196"	"Bafing"	"Korup"	"Bafing_Korup"	0	"0"
"197"	"Bateke"	"Korup"	"Bateke_Korup"	0	"0"
"198"	"Grebo"	"Korup"	"Grebo_Korup"	0	"0"
"199"	"Kabogo"	"Korup"	"Kabogo_Korup"	0	"0"
"200"	"Gashaka"	"Korup"	"Gashaka_Korup"	1	"tableS9"
"201"	"Conkouati"	"Korup"	"Conkouati_Korup"	0	"0"
"202"	"Kayan"	"Korup"	"Kayan_Korup"	0	"0"
"203"	"Issa-Ugalla"	"Korup"	"Issa-Ugalla_Korup"	0	"0"
"204"	"Gishwati"	"Korup"	"Gishwati_Korup"	0	"0"
"205"	"Boe"	"La Belgique"	"Boe_La Belgique"	0	"0"
"206"	"Bili-Uele"	"La Belgique"	"Bili-Uele_La Belgique"	0	"0"
"207"	"Kabogo"	"La Belgique"	"Kabogo_La Belgique"	0	"0"
"208"	"Goualougo"	"La Belgique"	"Goualougo_La Belgique"	1	"figS93"
"209"	"Bafing"	"La Belgique"	"Bafing_La Belgique"	0	"0"
"210"	"Kayan"	"La Belgique"	"Kayan_La Belgique"	0	"0"
"211"	"Dindefelo"	"La Belgique"	"Dindefelo_La Belgique"	0	"0"
"212"	"Bwindi"	"La Belgique"	"Bwindi_La Belgique"	0	"0"
"213"	"Grebo"	"La Belgique"	"Grebo_La Belgique"	0	"0"
"214"	"Gashaka"	"La Belgique"	"Gashaka_La Belgique"	0	"0"
"215"	"Djouroutou"	"La Belgique"	"Djouroutou_La Belgique"	0	"0"
"216"	"Conkouati"	"La Belgique"	"Conkouati_La Belgique"	0	"0"
"217"	"Budongo"	"La Belgique"	"Budongo_La Belgique"	0	"0"
"218"	"Korup"	"La Belgique"	"Korup_La Belgique"	0	"0"
"219"	"Issa-Ugalla"	"La Belgique"	"Issa-Ugalla_La Belgique"	0	"0"
"220"	"Gishwati"	"La Belgique"	"Gishwati_La Belgique"	0	"0"
"221"	"East Nimba"	"La Belgique"	"East Nimba_La Belgique"	0	"0"
"222"	"Bateke"	"La Belgique"	"Bateke_La Belgique"	0	"0"
"223"	"Comoe"	"La Belgique"	"Comoe_La Belgique"	0	"0"
"224"	"Boe"	"Loango"	"Boe_Loango"	0	"0"
"225"	"Kabogo"	"Loango"	"Kabogo_Loango"	0	"0"
"226"	"Kayan"	"Loango"	"Kayan_Loango"	0	"0"
"227"	"Gishwati"	"Loango"	"Gishwati_Loango"	0	"0"
"228"	"Issa-Ugalla"	"Loango"	"Issa-Ugalla_Loango"	0	"0"
"229"	"Dindefelo"	"Loango"	"Dindefelo_Loango"	0	"0"
"230"	"La Belgique"	"Loango"	"La Belgique_Loango"	0	"0"
"231"	"Bwindi"	"Loango"	"Bwindi_Loango"	0	"0"
"232"	"Gashaka"	"Loango"	"Gashaka_Loango"	0	"0"
"233"	"Bili-Uele"	"Loango"	"Bili-Uele_Loango"	0	"0"
"234"	"East Nimba"	"Loango"	"East Nimba_Loango"	0	"0"
"235"	"Korup"	"Loango"	"Korup_Loango"	0	"0"
"236"	"Djouroutou"	"Loango"	"Djouroutou_Loango"	0	"0"
"237"	"Bafing"	"Loango"	"Bafing_Loango"	0	"0"
"238"	"Comoe"	"Loango"	"Comoe_Loango"	0	"0"
"239"	"Bateke"	"Loango"	"Bateke_Loango"	1	"tableS9"
"240"	"Grebo"	"Loango"	"Grebo_Loango"	0	"0"
"241"	"Budongo"	"Loango"	"Budongo_Loango"	0	"0"
"242"	"Conkouati"	"Loango"	"Conkouati_Loango"	1	"tableS9"
"243"	"Goualougo"	"Loango"	"Goualougo_Loango"	0	"0"
"244"	"Boe"	"Lope"	"Boe_Lope"	0	"0"
"245"	"Dindefelo"	"Lope"	"Dindefelo_Lope"	0	"0"
"246"	"Conkouati"	"Lope"	"Conkouati_Lope"	1	"tableS9"
"247"	"Korup"	"Lope"	"Korup_Lope"	0	"0"
"248"	"Bwindi"	"Lope"	"Bwindi_Lope"	0	"0"
"249"	"Kayan"	"Lope"	"Kayan_Lope"	0	"0"
"250"	"Gishwati"	"Lope"	"Gishwati_Lope"	0	"0"
"251"	"Issa-Ugalla"	"Lope"	"Issa-Ugalla_Lope"	0	"0"
"252"	"La Belgique"	"Lope"	"La Belgique_Lope"	0	"0"
"253"	"Budongo"	"Lope"	"Budongo_Lope"	0	"0"
"254"	"Comoe"	"Lope"	"Comoe_Lope"	0	"0"
"255"	"Djouroutou"	"Lope"	"Djouroutou_Lope"	0	"0"
"256"	"Grebo"	"Lope"	"Grebo_Lope"	0	"0"
"257"	"Bafing"	"Lope"	"Bafing_Lope"	0	"0"
"258"	"Bili-Uele"	"Lope"	"Bili-Uele_Lope"	0	"0"
"259"	"East Nimba"	"Lope"	"East Nimba_Lope"	0	"0"
"260"	"Goualougo"	"Lope"	"Goualougo_Lope"	1	"tableS9"
"261"	"Bateke"	"Lope"	"Bateke_Lope"	1	"tableS9"
"262"	"Loango"	"Lope"	"Loango_Lope"	1	"tableS9"
"263"	"Gashaka"	"Lope"	"Gashaka_Lope"	0	"0"
"264"	"Kabogo"	"Lope"	"Kabogo_Lope"	0	"0"
"265"	"Dindefelo"	"Mbe"	"Dindefelo_Mbe"	0	"0"
"266"	"Djouroutou"	"Mbe"	"Djouroutou_Mbe"	0	"0"
"267"	"Kayan"	"Mbe"	"Kayan_Mbe"	0	"0"
"268"	"Korup"	"Mbe"	"Korup_Mbe"	1	"tableS9"
"269"	"Gishwati"	"Mbe"	"Gishwati_Mbe"	0	"0"
"270"	"Conkouati"	"Mbe"	"Conkouati_Mbe"	0	"0"
"271"	"East Nimba"	"Mbe"	"East Nimba_Mbe"	0	"0"
"272"	"Issa-Ugalla"	"Mbe"	"Issa-Ugalla_Mbe"	0	"0"
"273"	"Grebo"	"Mbe"	"Grebo_Mbe"	0	"0"
"274"	"Budongo"	"Mbe"	"Budongo_Mbe"	0	"0"
"275"	"Kabogo"	"Mbe"	"Kabogo_Mbe"	0	"0"
"276"	"Lope"	"Mbe"	"Lope_Mbe"	0	"0"
"277"	"Comoe"	"Mbe"	"Comoe_Mbe"	0	"0"
"278"	"La Belgique"	"Mbe"	"La Belgique_Mbe"	0	"0"
"279"	"Bateke"	"Mbe"	"Bateke_Mbe"	0	"0"
"280"	"Loango"	"Mbe"	"Loango_Mbe"	0	"0"
"281"	"Bili-Uele"	"Mbe"	"Bili-Uele_Mbe"	0	"0"
"282"	"Boe"	"Mbe"	"Boe_Mbe"	0	"0"
"283"	"Goualougo"	"Mbe"	"Goualougo_Mbe"	0	"0"
"284"	"Bwindi"	"Mbe"	"Bwindi_Mbe"	0	"0"
"285"	"Bafing"	"Mbe"	"Bafing_Mbe"	0	"0"
"286"	"Gashaka"	"Mbe"	"Gashaka_Mbe"	1	"tableS9"
"287"	"Korup"	"Mt. Cameroon"	"Korup_Mt. Cameroon"	1	"tableS9"
"288"	"Dindefelo"	"Mt. Cameroon"	"Dindefelo_Mt. Cameroon"	0	"0"
"289"	"Issa-Ugalla"	"Mt. Cameroon"	"Issa-Ugalla_Mt. Cameroon"	0	"0"
"290"	"Grebo"	"Mt. Cameroon"	"Grebo_Mt. Cameroon"	0	"0"
"291"	"Budongo"	"Mt. Cameroon"	"Budongo_Mt. Cameroon"	0	"0"
"292"	"Djouroutou"	"Mt. Cameroon"	"Djouroutou_Mt. Cameroon"	0	"0"
"293"	"East Nimba"	"Mt. Cameroon"	"East Nimba_Mt. Cameroon"	0	"0"
"294"	"Conkouati"	"Mt. Cameroon"	"Conkouati_Mt. Cameroon"	0	"0"
"295"	"Goualougo"	"Mt. Cameroon"	"Goualougo_Mt. Cameroon"	0	"0"
"296"	"Bafing"	"Mt. Cameroon"	"Bafing_Mt. Cameroon"	0	"0"
"297"	"Gishwati"	"Mt. Cameroon"	"Gishwati_Mt. Cameroon"	0	"0"
"298"	"Comoe"	"Mt. Cameroon"	"Comoe_Mt. Cameroon"	0	"0"
"299"	"Bateke"	"Mt. Cameroon"	"Bateke_Mt. Cameroon"	0	"0"
"300"	"La Belgique"	"Mt. Cameroon"	"La Belgique_Mt. Cameroon"	0	"0"
"301"	"Bili-Uele"	"Mt. Cameroon"	"Bili-Uele_Mt. Cameroon"	0	"0"
"302"	"Kabogo"	"Mt. Cameroon"	"Kabogo_Mt. Cameroon"	0	"0"
"303"	"Gashaka"	"Mt. Cameroon"	"Gashaka_Mt. Cameroon"	1	"tableS9"
"304"	"Boe"	"Mt. Cameroon"	"Boe_Mt. Cameroon"	0	"0"
"305"	"Lope"	"Mt. Cameroon"	"Lope_Mt. Cameroon"	0	"0"
"306"	"Kayan"	"Mt. Cameroon"	"Kayan_Mt. Cameroon"	0	"0"
"307"	"Mbe"	"Mt. Cameroon"	"Mbe_Mt. Cameroon"	1	"tableS9"
"308"	"Loango"	"Mt. Cameroon"	"Loango_Mt. Cameroon"	0	"0"
"309"	"Bwindi"	"Mt. Cameroon"	"Bwindi_Mt. Cameroon"	0	"0"
"310"	"Bateke"	"Mt. Cristal"	"Bateke_Mt. Cristal"	1	"tableS9"
"311"	"Djouroutou"	"Mt. Cristal"	"Djouroutou_Mt. Cristal"	0	"0"
"312"	"East Nimba"	"Mt. Cristal"	"East Nimba_Mt. Cristal"	0	"0"
"313"	"Mt. Sangbe"	"Mt. Cristal"	"Mt. Cristal_Mt. Sangbe"	0	"0"
"314"	"Grebo"	"Mt. Cristal"	"Grebo_Mt. Cristal"	0	"0"
"315"	"Conkouati"	"Mt. Cristal"	"Conkouati_Mt. Cristal"	0	"0"
"316"	"Bafing"	"Mt. Cristal"	"Bafing_Mt. Cristal"	0	"0"
"317"	"Budongo"	"Mt. Cristal"	"Budongo_Mt. Cristal"	0	"0"
"318"	"Bili-Uele"	"Mt. Cristal"	"Bili-Uele_Mt. Cristal"	1	"fig3"
"319"	"Dindefelo"	"Mt. Cristal"	"Dindefelo_Mt. Cristal"	0	"0"
"320"	"Goualougo"	"Mt. Cristal"	"Goualougo_Mt. Cristal"	1	"tableS9"
"321"	"Issa-Ugalla"	"Mt. Cristal"	"Issa-Ugalla_Mt. Cristal"	0	"0"
"322"	"Mbe"	"Mt. Cristal"	"Mbe_Mt. Cristal"	0	"0"
"323"	"Comoe"	"Mt. Cristal"	"Comoe_Mt. Cristal"	0	"0"
"324"	"Bwindi"	"Mt. Cristal"	"Bwindi_Mt. Cristal"	0	"0"
"325"	"La Belgique"	"Mt. Cristal"	"La Belgique_Mt. Cristal"	0	"0"
"326"	"Gashaka"	"Mt. Cristal"	"Gashaka_Mt. Cristal"	0	"0"
"327"	"Loango"	"Mt. Cristal"	"Loango_Mt. Cristal"	1	"tableS9"
"328"	"Kabogo"	"Mt. Cristal"	"Kabogo_Mt. Cristal"	0	"0"
"329"	"Boe"	"Mt. Cristal"	"Boe_Mt. Cristal"	0	"0"
"330"	"Gishwati"	"Mt. Cristal"	"Gishwati_Mt. Cristal"	0	"0"
"331"	"Lope"	"Mt. Cristal"	"Lope_Mt. Cristal"	1	"tableS9"
